lambda,dlambda,enthalpy
9.951701e-01,-1.320485e-05,-3.189512e+01
9.951569e-01,-1.320450e-05,-3.189511e+01
9.951437e-01,-1.320415e-05,-3.189511e+01
9.951304e-01,-1.320379e-05,-3.189511e+01
9.951172e-01,-1.320344e-05,-3.189511e+01
9.951040e-01,-1.320309e-05,-3.189511e+01
9.950908e-01,-1.320274e-05,-3.189511e+01
9.950776e-01,-1.320239e-05,-3.189511e+01
9.950644e-01,-1.320204e-05,-3.189512e+01
9.950512e-01,-1.320169e-05,-3.189512e+01
9.950380e-01,-1.320134e-05,-3.189513e+01
9.950248e-01,-1.320099e-05,-3.189514e+01
9.950116e-01,-1.320064e-05,-3.189515e+01
9.949984e-01,-1.320029e-05,-3.189516e+01
9.949852e-01,-1.319994e-05,-3.189517e+01
9.949720e-01,-1.319959e-05,-3.189518e+01
9.949588e-01,-1.319924e-05,-3.189519e+01
9.949456e-01,-1.319889e-05,-3.189520e+01
9.949324e-01,-1.319854e-05,-3.189521e+01
9.949192e-01,-1.319819e-05,-3.189522e+01
9.949060e-01,-1.319784e-05,-3.189523e+01
9.948928e-01,-1.319749e-05,-3.189524e+01
9.948796e-01,-1.319714e-05,-3.189525e+01
9.948664e-01,-1.319679e-05,-3.189526e+01
9.948532e-01,-1.319644e-05,-3.189527e+01
9.948400e-01,-1.319609e-05,-3.189527e+01
9.948268e-01,-1.319574e-05,-3.189528e+01
9.948137e-01,-1.319539e-05,-3.189529e+01
9.948005e-01,-1.319504e-05,-3.189529e+01
9.947873e-01,-1.319469e-05,-3.189529e+01
9.947741e-01,-1.319434e-05,-3.189529e+01
9.947609e-01,-1.319399e-05,-3.189529e+01
9.947477e-01,-1.319364e-05,-3.189529e+01
9.947345e-01,-1.319329e-05,-3.189529e+01
9.947213e-01,-1.319294e-05,-3.189529e+01
9.947081e-01,-1.319259e-05,-3.189528e+01
9.946949e-01,-1.319224e-05,-3.189528e+01
9.946817e-01,-1.319189e-05,-3.189527e+01
9.946685e-01,-1.319154e-05,-3.189526e+01
9.946553e-01,-1.319119e-05,-3.189524e+01
9.946421e-01,-1.319084e-05,-3.189523e+01
9.946289e-01,-1.319049e-05,-3.189522e+01
9.946158e-01,-1.319014e-05,-3.189520e+01
9.946026e-01,-1.318979e-05,-3.189518e+01
9.945894e-01,-1.318944e-05,-3.189516e+01
9.945762e-01,-1.318909e-05,-3.189514e+01
9.945630e-01,-1.318874e-05,-3.189512e+01
9.945498e-01,-1.318839e-05,-3.189509e+01
9.945366e-01,-1.318804e-05,-3.189507e+01
9.945234e-01,-1.318769e-05,-3.189504e+01
9.945102e-01,-1.318734e-05,-3.189501e+01
9.944971e-01,-1.318699e-05,-3.189498e+01
9.944839e-01,-1.318664e-05,-3.189495e+01
9.944707e-01,-1.318629e-05,-3.189492e+01
9.944575e-01,-1.318594e-05,-3.189488e+01
9.944443e-01,-1.318559e-05,-3.189485e+01
9.944311e-01,-1.318524e-05,-3.189482e+01
9.944179e-01,-1.318489e-05,-3.189478e+01
9.944048e-01,-1.318454e-05,-3.189475e+01
9.943916e-01,-1.318419e-05,-3.189471e+01
9.943784e-01,-1.318385e-05,-3.189468e+01
9.943652e-01,-1.318350e-05,-3.189464e+01
9.943520e-01,-1.318315e-05,-3.189461e+01
9.943388e-01,-1.318280e-05,-3.189457e+01
9.943257e-01,-1.318245e-05,-3.189454e+01
9.943125e-01,-1.318210e-05,-3.189450e+01
9.942993e-01,-1.318175e-05,-3.189447e+01
9.942861e-01,-1.318140e-05,-3.189444e+01
9.942729e-01,-1.318105e-05,-3.189441e+01
9.942597e-01,-1.318070e-05,-3.189438e+01
9.942466e-01,-1.318035e-05,-3.189435e+01
9.942334e-01,-1.318000e-05,-3.189432e+01
9.942202e-01,-1.317965e-05,-3.189429e+01
9.942070e-01,-1.317930e-05,-3.189427e+01
9.941938e-01,-1.317895e-05,-3.189424e+01
9.941807e-01,-1.317860e-05,-3.189422e+01
9.941675e-01,-1.317825e-05,-3.189420e+01
9.941543e-01,-1.317790e-05,-3.189418e+01
9.941411e-01,-1.317755e-05,-3.189416e+01
9.941280e-01,-1.317721e-05,-3.189415e+01
9.941148e-01,-1.317686e-05,-3.189413e+01
9.941016e-01,-1.317651e-05,-3.189412e+01
9.940884e-01,-1.317616e-05,-3.189411e+01
9.940753e-01,-1.317581e-05,-3.189410e+01
9.940621e-01,-1.317546e-05,-3.189410e+01
9.940489e-01,-1.317511e-05,-3.189409e+01
9.940357e-01,-1.317476e-05,-3.189409e+01
9.940226e-01,-1.317441e-05,-3.189409e+01
9.940094e-01,-1.317406e-05,-3.189409e+01
9.939962e-01,-1.317371e-05,-3.189409e+01
9.939830e-01,-1.317336e-05,-3.189410e+01
9.939699e-01,-1.317301e-05,-3.189411e+01
9.939567e-01,-1.317267e-05,-3.189412e+01
9.939435e-01,-1.317232e-05,-3.189413e+01
9.939303e-01,-1.317197e-05,-3.189414e+01
9.939172e-01,-1.317162e-05,-3.189416e+01
9.939040e-01,-1.317127e-05,-3.189417e+01
9.938908e-01,-1.317092e-05,-3.189419e+01
9.938777e-01,-1.317057e-05,-3.189421e+01
9.938645e-01,-1.317022e-05,-3.189423e+01
9.938513e-01,-1.316987e-05,-3.189425e+01
9.938381e-01,-1.316952e-05,-3.189427e+01
9.938250e-01,-1.316917e-05,-3.189429e+01
9.938118e-01,-1.316883e-05,-3.189432e+01
9.937986e-01,-1.316848e-05,-3.189434e+01
9.937855e-01,-1.316813e-05,-3.189436e+01
9.937723e-01,-1.316778e-05,-3.189439e+01
9.937591e-01,-1.316743e-05,-3.189441e+01
9.937460e-01,-1.316708e-05,-3.189444e+01
9.937328e-01,-1.316673e-05,-3.189446e+01
9.937196e-01,-1.316638e-05,-3.189449e+01
