lambda,dlambda,pe,espring
5.747088e-12,1.334613e-13,-3.189724e+01,3.871886e-02
5.881794e-12,1.359563e-13,-3.189720e+01,3.875159e-02
6.019012e-12,1.384859e-13,-3.189715e+01,3.878268e-02
6.158778e-12,1.410507e-13,-3.189710e+01,3.880990e-02
6.301125e-12,1.436509e-13,-3.189704e+01,3.884150e-02
6.446091e-12,1.462868e-13,-3.189699e+01,3.887718e-02
6.593711e-12,1.489588e-13,-3.189694e+01,3.891059e-02
6.744021e-12,1.516672e-13,-3.189688e+01,3.894114e-02
6.897058e-12,1.544123e-13,-3.189682e+01,3.897247e-02
7.052858e-12,1.571944e-13,-3.189676e+01,3.900725e-02
7.211459e-12,1.600138e-13,-3.189670e+01,3.904281e-02
7.372898e-12,1.628710e-13,-3.189664e+01,3.908313e-02
7.537214e-12,1.657662e-13,-3.189657e+01,3.912137e-02
7.704443e-12,1.686998e-13,-3.189651e+01,3.915688e-02
7.874626e-12,1.716721e-13,-3.189644e+01,3.919086e-02
8.047801e-12,1.746835e-13,-3.189637e+01,3.922580e-02
8.224006e-12,1.777342e-13,-3.189630e+01,3.926142e-02
8.403282e-12,1.808246e-13,-3.189622e+01,3.929832e-02
8.585669e-12,1.839551e-13,-3.189615e+01,3.933358e-02
8.771206e-12,1.871260e-13,-3.189609e+01,3.936524e-02
8.959934e-12,1.903377e-13,-3.189603e+01,3.939511e-02
9.151895e-12,1.935905e-13,-3.189597e+01,3.941919e-02
9.347129e-12,1.968847e-13,-3.189591e+01,3.944641e-02
9.545678e-12,2.002207e-13,-3.189586e+01,3.947418e-02
9.747585e-12,2.035989e-13,-3.189580e+01,3.950226e-02
9.952890e-12,2.070195e-13,-3.189576e+01,3.952805e-02
1.016164e-11,2.104830e-13,-3.189573e+01,3.955036e-02
1.037387e-11,2.139897e-13,-3.189569e+01,3.957126e-02
1.058963e-11,2.175400e-13,-3.189566e+01,3.959144e-02
1.080897e-11,2.211342e-13,-3.189564e+01,3.961120e-02
1.103192e-11,2.247727e-13,-3.189562e+01,3.962707e-02
1.125853e-11,2.284558e-13,-3.189560e+01,3.964132e-02
1.148884e-11,2.321840e-13,-3.189559e+01,3.965733e-02
1.172291e-11,2.359575e-13,-3.189557e+01,3.967166e-02
1.196077e-11,2.397767e-13,-3.189555e+01,3.968541e-02
1.220248e-11,2.436420e-13,-3.189554e+01,3.969955e-02
1.244807e-11,2.475538e-13,-3.189553e+01,3.971186e-02
1.269760e-11,2.515125e-13,-3.189552e+01,3.972417e-02
1.295111e-11,2.555183e-13,-3.189551e+01,3.973526e-02
1.320865e-11,2.595717e-13,-3.189551e+01,3.974677e-02
1.347027e-11,2.636731e-13,-3.189551e+01,3.975671e-02
1.373602e-11,2.678228e-13,-3.189552e+01,3.976320e-02
1.400593e-11,2.720212e-13,-3.189553e+01,3.976636e-02
1.428007e-11,2.762687e-13,-3.189554e+01,3.976691e-02
1.455849e-11,2.805656e-13,-3.189556e+01,3.976700e-02
1.484122e-11,2.849124e-13,-3.189559e+01,3.976101e-02
1.512833e-11,2.893094e-13,-3.189561e+01,3.975593e-02
1.541986e-11,2.937571e-13,-3.189563e+01,3.975113e-02
1.571586e-11,2.982557e-13,-3.189566e+01,3.974599e-02
1.601639e-11,3.028057e-13,-3.189568e+01,3.973890e-02
1.632149e-11,3.074075e-13,-3.189571e+01,3.973118e-02
1.663122e-11,3.120614e-13,-3.189573e+01,3.972351e-02
1.694563e-11,3.167679e-13,-3.189575e+01,3.971449e-02
1.726477e-11,3.215273e-13,-3.189578e+01,3.970349e-02
1.758870e-11,3.263400e-13,-3.189581e+01,3.969256e-02
1.791747e-11,3.312065e-13,-3.189585e+01,3.968118e-02
1.825113e-11,3.361271e-13,-3.189589e+01,3.966763e-02
1.858974e-11,3.411023e-13,-3.189593e+01,3.964983e-02
1.893336e-11,3.461323e-13,-3.189597e+01,3.962977e-02
1.928203e-11,3.512177e-13,-3.189600e+01,3.961038e-02
1.963581e-11,3.563588e-13,-3.189605e+01,3.958932e-02
1.999476e-11,3.615561e-13,-3.189609e+01,3.956684e-02
2.035894e-11,3.668098e-13,-3.189613e+01,3.954885e-02
2.072840e-11,3.721205e-13,-3.189618e+01,3.952499e-02
2.110320e-11,3.774886e-13,-3.189623e+01,3.949990e-02
2.148340e-11,3.829144e-13,-3.189628e+01,3.947031e-02
2.186905e-11,3.883984e-13,-3.189632e+01,3.944319e-02
2.226021e-11,3.939410e-13,-3.189636e+01,3.941508e-02
2.265695e-11,3.995426e-13,-3.189641e+01,3.938479e-02
2.305932e-11,4.052036e-13,-3.189645e+01,3.935470e-02
