lambda,dlambda,pe,espring
1.103192e-11,2.247727e-13,-3.186990e+01,4.561077e-02
1.125853e-11,2.284558e-13,-3.186993e+01,4.560825e-02
1.148884e-11,2.321840e-13,-3.186995e+01,4.560422e-02
1.172291e-11,2.359575e-13,-3.186997e+01,4.560059e-02
1.196077e-11,2.397767e-13,-3.186999e+01,4.559644e-02
1.220248e-11,2.436420e-13,-3.187001e+01,4.559423e-02
1.244807e-11,2.475538e-13,-3.187002e+01,4.559309e-02
1.269760e-11,2.515125e-13,-3.187004e+01,4.559440e-02
1.295111e-11,2.555183e-13,-3.187005e+01,4.559818e-02
1.320865e-11,2.595717e-13,-3.187008e+01,4.560042e-02
1.347027e-11,2.636731e-13,-3.187010e+01,4.560004e-02
1.373602e-11,2.678228e-13,-3.187012e+01,4.559870e-02
1.400593e-11,2.720212e-13,-3.187014e+01,4.559827e-02
1.428007e-11,2.762687e-13,-3.187017e+01,4.560210e-02
1.455849e-11,2.805656e-13,-3.187019e+01,4.560634e-02
1.484122e-11,2.849124e-13,-3.187021e+01,4.560953e-02
1.512833e-11,2.893094e-13,-3.187023e+01,4.561204e-02
1.541986e-11,2.937571e-13,-3.187024e+01,4.561594e-02
1.571586e-11,2.982557e-13,-3.187024e+01,4.562088e-02
1.601639e-11,3.028057e-13,-3.187025e+01,4.562696e-02
1.632149e-11,3.074075e-13,-3.187026e+01,4.563351e-02
1.663122e-11,3.120614e-13,-3.187027e+01,4.564136e-02
1.694563e-11,3.167679e-13,-3.187028e+01,4.565020e-02
1.726477e-11,3.215273e-13,-3.187030e+01,4.565871e-02
1.758870e-11,3.263400e-13,-3.187031e+01,4.566587e-02
1.791747e-11,3.312065e-13,-3.187033e+01,4.567143e-02
1.825113e-11,3.361271e-13,-3.187035e+01,4.567824e-02
1.858974e-11,3.411023e-13,-3.187037e+01,4.568429e-02
1.893336e-11,3.461323e-13,-3.187040e+01,4.568656e-02
1.928203e-11,3.512177e-13,-3.187042e+01,4.569037e-02
1.963581e-11,3.563588e-13,-3.187044e+01,4.569228e-02
1.999476e-11,3.615561e-13,-3.187046e+01,4.569541e-02
2.035894e-11,3.668098e-13,-3.187047e+01,4.569744e-02
2.072840e-11,3.721205e-13,-3.187049e+01,4.569924e-02
2.110320e-11,3.774886e-13,-3.187051e+01,4.570268e-02
2.148340e-11,3.829144e-13,-3.187052e+01,4.570752e-02
2.186905e-11,3.883984e-13,-3.187055e+01,4.571520e-02
2.226021e-11,3.939410e-13,-3.187058e+01,4.572242e-02
2.265695e-11,3.995426e-13,-3.187060e+01,4.572988e-02
2.305932e-11,4.052036e-13,-3.187064e+01,4.573729e-02
2.346738e-11,4.109244e-13,-3.187067e+01,4.574408e-02
2.388119e-11,4.167055e-13,-3.187071e+01,4.574956e-02
2.430081e-11,4.225472e-13,-3.187075e+01,4.575418e-02
2.472630e-11,4.284501e-13,-3.187078e+01,4.575881e-02
2.515773e-11,4.344144e-13,-3.187082e+01,4.576174e-02
2.559515e-11,4.404407e-13,-3.187086e+01,4.576443e-02
2.603863e-11,4.465293e-13,-3.187089e+01,4.576701e-02
2.648823e-11,4.526807e-13,-3.187092e+01,4.576962e-02
2.694401e-11,4.588953e-13,-3.187095e+01,4.577209e-02
2.740604e-11,4.651736e-13,-3.187098e+01,4.577572e-02
2.787438e-11,4.715159e-13,-3.187101e+01,4.577737e-02
2.834910e-11,4.779228e-13,-3.187104e+01,4.578288e-02
2.883025e-11,4.843946e-13,-3.187106e+01,4.578791e-02
2.931791e-11,4.909317e-13,-3.187108e+01,4.579299e-02
2.981214e-11,4.975347e-13,-3.187108e+01,4.580009e-02
3.031300e-11,5.042039e-13,-3.187109e+01,4.581003e-02
3.082057e-11,5.109398e-13,-3.187110e+01,4.581827e-02
3.133490e-11,5.177428e-13,-3.187110e+01,4.582654e-02
3.185607e-11,5.246135e-13,-3.187110e+01,4.583279e-02
3.238415e-11,5.315521e-13,-3.187110e+01,4.584131e-02
3.291920e-11,5.385592e-13,-3.187109e+01,4.584790e-02
3.346129e-11,5.456352e-13,-3.187108e+01,4.585655e-02
3.401049e-11,5.527805e-13,-3.187106e+01,4.586629e-02
3.456688e-11,5.599956e-13,-3.187103e+01,4.587819e-02
3.513051e-11,5.672811e-13,-3.187100e+01,4.588989e-02
3.570146e-11,5.746372e-13,-3.187097e+01,4.590244e-02
3.627981e-11,5.820644e-13,-3.187093e+01,4.591658e-02
3.686561e-11,5.895633e-13,-3.187090e+01,4.593274e-02
3.745896e-11,5.971343e-13,-3.187087e+01,4.594900e-02
3.805991e-11,6.047778e-13,-3.187084e+01,4.596590e-02
3.866854e-11,6.124943e-13,-3.187082e+01,4.598284e-02
3.928492e-11,6.202842e-13,-3.187079e+01,4.599923e-02
3.990913e-11,6.281480e-13,-3.187075e+01,4.601759e-02
4.054124e-11,6.360862e-13,-3.187071e+01,4.603890e-02
4.118133e-11,6.440993e-13,-3.187068e+01,4.605977e-02
4.182946e-11,6.521877e-13,-3.187064e+01,4.608189e-02
4.248573e-11,6.603518e-13,-3.187060e+01,4.610529e-02
4.315019e-11,6.685922e-13,-3.187056e+01,4.613038e-02
4.382294e-11,6.769093e-13,-3.187052e+01,4.615668e-02
4.450404e-11,6.853036e-13,-3.187047e+01,4.618316e-02
4.519357e-11,6.937755e-13,-3.187043e+01,4.621117e-02
4.589162e-11,7.023256e-13,-3.187038e+01,4.623757e-02
4.659825e-11,7.109543e-13,-3.187032e+01,4.626491e-02
4.731355e-11,7.196621e-13,-3.187027e+01,4.629164e-02
4.803760e-11,7.284494e-13,-3.187022e+01,4.631655e-02
4.877048e-11,7.373168e-13,-3.187018e+01,4.633803e-02
4.951226e-11,7.462648e-13,-3.187013e+01,4.635887e-02
5.026303e-11,7.552937e-13,-3.187009e+01,4.638008e-02
5.102287e-11,7.644041e-13,-3.187005e+01,4.640232e-02
5.179187e-11,7.735966e-13,-3.187001e+01,4.642407e-02
5.257009e-11,7.828715e-13,-3.186997e+01,4.644641e-02
5.335764e-11,7.922293e-13,-3.186994e+01,4.646741e-02
5.415458e-11,8.016706e-13,-3.186992e+01,4.648729e-02
5.496101e-11,8.111959e-13,-3.186990e+01,4.650461e-02
5.577700e-11,8.208056e-13,-3.186988e+01,4.651868e-02
5.660265e-11,8.305002e-13,-3.186986e+01,4.653345e-02
5.743803e-11,8.402803e-13,-3.186985e+01,4.654803e-02
5.828324e-11,8.501462e-13,-3.186984e+01,4.656201e-02
5.913835e-11,8.600987e-13,-3.186984e+01,4.657535e-02
6.000346e-11,8.701380e-13,-3.186984e+01,4.658795e-02
6.087866e-11,8.802647e-13,-3.186984e+01,4.659921e-02
6.176402e-11,8.904794e-13,-3.186984e+01,4.660952e-02
6.265964e-11,9.007825e-13,-3.186986e+01,4.661949e-02
6.356562e-11,9.111746e-13,-3.186988e+01,4.662752e-02
6.448202e-11,9.216561e-13,-3.186990e+01,4.663354e-02
6.540896e-11,9.322276e-13,-3.186992e+01,4.664189e-02
6.634651e-11,9.428895e-13,-3.186994e+01,4.665004e-02
6.729477e-11,9.536424e-13,-3.186997e+01,4.665704e-02
6.825382e-11,9.644868e-13,-3.187000e+01,4.666434e-02
6.922377e-11,9.754232e-13,-3.187003e+01,4.667191e-02
7.020470e-11,9.864521e-13,-3.187005e+01,4.667780e-02
7.119671e-11,9.975741e-13,-3.187008e+01,4.668294e-02
7.219988e-11,1.008790e-12,-3.187011e+01,4.668700e-02
7.321432e-11,1.020099e-12,-3.187014e+01,4.669209e-02
7.424011e-11,1.031503e-12,-3.187017e+01,4.669720e-02
7.527736e-11,1.043003e-12,-3.187019e+01,4.670296e-02
7.632615e-11,1.054598e-12,-3.187022e+01,4.670901e-02
7.738658e-11,1.066289e-12,-3.187025e+01,4.671480e-02
7.845876e-11,1.078077e-12,-3.187028e+01,4.671873e-02
7.954277e-11,1.089962e-12,-3.187032e+01,4.672166e-02
8.063871e-11,1.101944e-12,-3.187034e+01,4.672557e-02
8.174669e-11,1.114026e-12,-3.187037e+01,4.672796e-02
8.286680e-11,1.126205e-12,-3.187041e+01,4.673055e-02
8.399913e-11,1.138485e-12,-3.187045e+01,4.673103e-02
8.514380e-11,1.150864e-12,-3.187049e+01,4.673143e-02
8.630090e-11,1.163343e-12,-3.187053e+01,4.672926e-02
8.747052e-11,1.175924e-12,-3.187057e+01,4.672782e-02
8.865278e-11,1.188606e-12,-3.187062e+01,4.672727e-02
8.984777e-11,1.201390e-12,-3.187067e+01,4.672652e-02
9.105559e-11,1.214277e-12,-3.187071e+01,4.672512e-02
9.227636e-11,1.227267e-12,-3.187076e+01,4.672759e-02
9.351016e-11,1.240360e-12,-3.187080e+01,4.672994e-02
9.475711e-11,1.253558e-12,-3.187085e+01,4.673110e-02
9.601731e-11,1.266860e-12,-3.187089e+01,4.673273e-02
9.729087e-11,1.280268e-12,-3.187094e+01,4.673508e-02
9.857788e-11,1.293782e-12,-3.187099e+01,4.673999e-02
9.987847e-11,1.307402e-12,-3.187104e+01,4.674538e-02
1.011927e-10,1.321129e-12,-3.187109e+01,4.675006e-02
1.025208e-10,1.334964e-12,-3.187114e+01,4.675515e-02
1.038627e-10,1.348906e-12,-3.187118e+01,4.676014e-02
1.052186e-10,1.362958e-12,-3.187123e+01,4.676472e-02
1.065886e-10,1.377118e-12,-3.187128e+01,4.676908e-02
1.079729e-10,1.391389e-12,-3.187132e+01,4.677314e-02
1.093715e-10,1.405769e-12,-3.187136e+01,4.677759e-02
1.107845e-10,1.420261e-12,-3.187139e+01,4.678417e-02
1.122120e-10,1.434864e-12,-3.187142e+01,4.679240e-02
1.136542e-10,1.449579e-12,-3.187144e+01,4.680196e-02
1.151112e-10,1.464407e-12,-3.187146e+01,4.681195e-02
1.165831e-10,1.479347e-12,-3.187148e+01,4.682294e-02
1.180699e-10,1.494402e-12,-3.187149e+01,4.683504e-02
1.195719e-10,1.509571e-12,-3.187150e+01,4.685005e-02
1.210891e-10,1.524855e-12,-3.187150e+01,4.686632e-02
1.226217e-10,1.540254e-12,-3.187150e+01,4.688298e-02
1.241697e-10,1.555769e-12,-3.187149e+01,4.689948e-02
1.257332e-10,1.571401e-12,-3.187149e+01,4.691518e-02
1.273125e-10,1.587150e-12,-3.187148e+01,4.693230e-02
1.289076e-10,1.603016e-12,-3.187146e+01,4.694737e-02
1.305186e-10,1.619001e-12,-3.187144e+01,4.696434e-02
1.321456e-10,1.635105e-12,-3.187142e+01,4.698062e-02
1.337888e-10,1.651329e-12,-3.187141e+01,4.699673e-02
1.354483e-10,1.667673e-12,-3.187139e+01,4.701260e-02
1.371242e-10,1.684137e-12,-3.187136e+01,4.702855e-02
1.388166e-10,1.700722e-12,-3.187133e+01,4.704475e-02
1.405257e-10,1.717430e-12,-3.187129e+01,4.706178e-02
1.422515e-10,1.734260e-12,-3.187126e+01,4.707883e-02
1.439943e-10,1.751213e-12,-3.187122e+01,4.709425e-02
1.457540e-10,1.768289e-12,-3.187118e+01,4.711214e-02
1.475309e-10,1.785490e-12,-3.187114e+01,4.712748e-02
1.493250e-10,1.802816e-12,-3.187110e+01,4.714169e-02
1.511366e-10,1.820267e-12,-3.187107e+01,4.715388e-02
1.529656e-10,1.837844e-12,-3.187104e+01,4.716618e-02
1.548123e-10,1.855548e-12,-3.187100e+01,4.717724e-02
1.566767e-10,1.873379e-12,-3.187095e+01,4.718879e-02
1.585591e-10,1.891338e-12,-3.187091e+01,4.720113e-02
1.604595e-10,1.909425e-12,-3.187088e+01,4.721378e-02
1.623780e-10,1.927641e-12,-3.187084e+01,4.722704e-02
1.643148e-10,1.945987e-12,-3.187081e+01,4.723977e-02
